,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location*,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2004,Subsequently Confirmed Victims in Fiscal Years 2004 - 2009,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes,Foster/ Adoptive Homes*,Adoptive Homes**,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA)**,Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP,TOTAL,CBCAP,FSP,TFTS
57,DAWSON,1243,2162,141,135,118,120,0,0,0,192,173,1,218,133,108,54,164,5,3875,77,19.9,118,42,35.6%,30,7,,,17,4.4,6,17,10,13,0,7,0,1,5,0,10,232240,0,0,0,10,"$11,400.00",17,2,$54.00,77,3875,117,1211,2534,1,12,3083,3,315,4,48,11,1,3875,0,7,0,0,0,0,7,35,1,0,16,0,17,,,
58,DEAF SMITH,1476,2364,50,41,36,40,0,0,0,262,225,3,300,253,235,24,276,8,6487,42,6.5,170,23,13.5%,12,5,,,43,6.6,9,44,35,38,0,10,0,7,6,19,34,431041,0,3,0,7,"$2,712.50",44,5,"$1,322.23",56,6487,67,1590,4806,4,20,5161,6,468,0,0,20,2,6487,0,6,0,0,0,0,6,22,125,0,10,0,135,,,
59,DELTA,423,1045,31,27,16,23,0,0,0,48,39,0,43,39,32,2,41,0,1136,4,3.5,31,3,9.7%,3,2,,,18,15.8,8,18,16,14,0,5,4,0,0,8,16,144913,0,0,0,7,"$9,313.15",18,0,$0.00,13,1136,127,959,42,2,6,833,1,58,0,0,4,0,1136,0,4,0,0,0,0,4,11,17,0,0,0,17,,,
60,DENTON,60915,39100,891,577,306,278,411,397,35,4339,3658,35,4565,3601,2637,648,3917,109,173876,858,4.9,2877,542,18.8%,190,38,4,0,451,2.6,122,427,284,348,0,126,6,57,72,117,281,2989814,3,50,11,318,"$174,717.98",427,32,"$11,408.95",991,173876,13113,115561,35473,632,9097,134178,199,26525,70,840,192,209,173876,2,170,1,0,1,1,175,562,640,0,94,83,817,,,
61,DEWITT,1644,3912,103,74,49,47,0,0,0,228,174,3,226,188,176,23,203,5,4646,32,6.9,125,24,19.2%,51,7,,,38,8.2,5,31,27,19,0,5,0,1,2,12,26,567129,2,0,1,4,"$1,152.50",31,6,$470.40,37,4646,571,2081,1976,0,18,3619,6,295,2,24,1,2,4646,0,13,1,0,0,0,14,93,70,0,0,0,70,,,
62,DICKENS,222,752,33,24,21,25,0,0,0,46,41,0,80,39,34,10,70,2,448,39,87.1,38,17,44.7%,0,0,,,5,11.2,2,5,7,4,0,2,0,2,0,0,7,156275,0,0,0,0,$0.00,5,0,$0.00,21,448,14,288,146,0,0,343,0,0,0,0,1,2,448,0,0,0,0,0,0,0,0,6,0,0,0,6,,,
63,DIMMIT,868,1392,43,34,19,16,3,2,0,161,138,1,223,159,141,60,163,12,3177,57,17.9,108,27,25.0%,16,0,,,69,21.7,12,72,44,40,0,12,4,14,4,6,44,532210,0,1,0,4,"$1,152.50",72,9,$580.30,80,3177,22,245,2886,3,21,2409,5,304,0,0,6,0,3177,0,2,0,0,0,0,2,10,5,0,0,0,5,,,
64,DONLEY,321,993,16,15,13,21,0,0,0,30,26,0,39,32,29,7,32,1,741,7,9.4,24,5,20.8%,10,3,,,6,8.1,1,7,7,3,0,2,1,0,0,1,7,134909,0,0,0,0,$0.00,7,0,$0.00,10,741,76,575,88,1,1,549,0,0,2,24,1,2,741,0,2,0,0,0,0,2,7,8,0,0,0,8,,,
65,DUVAL,1108,1945,85,66,51,45,0,0,0,158,140,0,264,174,159,86,178,8,3830,82,21.4,142,41,28.9%,40,13,,,41,10.7,8,35,20,35,0,8,1,4,0,23,20,277554,0,0,0,20,"$9,092.06",35,13,"$3,430.87",151,3830,8,289,3518,4,11,2993,6,212,0,0,2,2,3830,0,1,0,0,0,0,1,6,2,0,0,0,2,,,
66,EASTLAND,1380,4163,215,176,139,92,5,5,0,223,189,3,287,194,188,80,207,13,4226,88,20.8,156,42,26.9%,16,4,,,41,9.7,12,36,27,30,0,12,0,5,5,10,27,289788,1,3,0,7,"$7,224.87",36,3,$109.44,108,4226,73,3307,825,5,16,3334,8,282,1,12,5,1,4226,0,15,0,0,0,0,15,53,103,0,0,0,103,,,
67,ECTOR,10106,15182,709,591,473,544,6,5,0,1965,1811,14,2558,1847,1512,570,1988,70,37839,642,17.0,1469,362,24.6%,217,70,2,0,310,8.2,89,301,207,237,0,92,21,36,39,70,205,3309194,0,11,1,186,"$177,681.58",301,27,"$5,628.11",729,37839,1950,11436,23921,85,447,30131,44,4064,11,132,87,4,37839,1,32,0,0,0,0,33,100,131,0,22,0,153,,,
68,EDWARDS,177,502,6,6,5,1,0,0,0,14,11,0,4,4,4,0,4,0,462,0,0.0,2,0,0.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,$0.00,0,0,$0.00,5,462,2,161,297,0,2,328,2,79,0,0,0,0,462,0,1,0,0,0,0,1,2,4,0,0,0,4,,,
69,ELLIS,12543,14261,300,248,204,261,1,1,0,1319,1170,10,1365,1014,774,252,1113,58,40909,330,8.1,817,191,23.4%,95,26,2,0,186,4.5,64,181,116,164,0,68,1,30,23,65,117,1153943,1,11,1,160,"$84,479.80",181,39,"$27,192.26",364,40909,3978,23266,13231,87,347,31039,52,5288,7,84,51,35,40909,3,97,2,0,0,0,102,512,110,0,196,2,308,,,
70,EL PASO,60496,74142,3454,2663,1805,2039,225,214,44,7088,5856,44,7666,5174,4185,1815,5851,68,224462,2204,9.8,4342,1245,28.7%,1044,142,8,1,659,2.9,178,644,516,467,0,182,28,92,56,157,513,6587387,10,33,18,302,"$333,495.59",644,163,"$43,823.93",3139,224462,5965,19375,195753,396,2973,179427,275,25288,153,1825,315,84,224462,9,249,6,0,0,0,264,1100,697,2029,85,97,2908,,,
71,ERATH,2842,4268,95,71,36,81,4,8,2,342,296,3,389,245,192,121,268,12,8770,125,14.3,211,68,32.2%,28,6,,,54,6.2,14,52,36,42,0,14,0,5,9,17,35,494175,0,3,0,38,"$9,791.16",52,14,"$4,947.53",209,8770,82,5886,2747,12,43,6864,15,933,6,72,10,24,8770,1,11,1,0,0,0,13,114,205,0,0,0,205,,,
72,FALLS,1441,2988,76,71,46,70,1,3,0,157,138,1,203,163,151,19,184,1,4535,26,5.7,129,22,17.1%,20,1,,,12,2.6,2,12,10,6,0,2,0,0,1,4,10,243564,1,1,0,1,$200.00,12,0,$0.00,28,4535,1348,1842,1332,0,13,3382,4,162,1,12,5,1,4535,0,14,1,0,1,0,16,155,12,0,25,0,37,,,
73,FANNIN,2761,6273,124,109,86,83,0,0,0,397,348,3,409,360,287,50,359,9,8187,47,5.7,232,29,12.5%,25,9,,,71,8.7,9,72,57,55,0,8,0,13,10,25,58,662986,2,2,0,27,"$21,323.39",72,0,$0.00,99,8187,501,6649,956,27,54,6128,12,701,1,12,4,6,8187,0,8,0,0,0,0,8,33,71,0,1,0,72,,,
74,FAYETTE,1943,4887,66,58,38,58,0,0,0,166,132,0,230,124,100,64,166,22,5273,95,18.0,131,46,35.1%,21,3,1,0,69,13.1,28,65,34,63,0,28,3,14,10,21,33,575725,0,2,1,6,"$2,200.00",65,1,$575.00,89,5273,526,3171,1557,3,16,3957,9,455,6,72,12,5,5273,0,5,0,0,1,0,6,27,47,0,18,0,65,,,
75,FISHER,321,940,36,32,22,35,0,0,0,33,28,0,60,42,37,25,35,0,847,15,17.7,29,8,27.6%,11,5,,,9,10.6,0,9,8,8,0,0,3,0,4,1,8,68419,0,0,0,3,"$5,000.00",9,0,$0.00,28,847,18,549,277,1,2,612,1,60,0,0,1,0,847,0,0,0,0,0,0,0,0,7,0,0,0,7,,,
76,FLOYD,598,1318,26,27,21,30,0,0,0,63,61,0,98,65,57,19,79,2,2337,31,13.3,52,18,34.6%,12,2,,,23,9.8,2,20,20,12,0,2,5,0,2,4,17,338106,0,0,0,0,$0.00,20,0,$0.00,37,2337,87,716,1527,1,6,1816,2,227,0,0,0,1,2337,0,1,0,0,0,0,1,4,25,0,0,0,25,,,
77,FOARD,117,387,27,20,15,10,0,0,0,13,11,0,16,9,9,7,9,0,336,7,20.8,9,4,44.4%,5,4,,,1,3.0,0,1,1,1,0,0,0,0,1,0,1,1891,0,0,0,1,"$4,000.00",1,0,$0.00,6,336,19,236,78,1,2,234,1,35,0,0,1,0,336,0,0,0,0,0,0,0,0,3,0,0,0,3,,,
78,FORT BEND,51099,36554,656,498,331,229,229,217,7,2688,2296,13,2655,2116,1610,507,2148,82,135413,479,3.5,1695,317,18.7%,265,22,7,0,295,2.2,128,293,200,229,0,130,12,27,26,55,178,2044231,6,32,31,200,"$115,297.97",293,96,"$36,979.71",962,135413,31214,48197,39120,210,16672,95444,222,27402,17,190,105,244,135413,2,258,0,1,5,0,266,1017,301,0,72,0,373,,,
79,FRANKLIN,774,2160,32,27,19,28,1,1,0,107,94,0,127,82,71,33,94,3,2194,35,16.0,69,20,29.0%,6,0,,,11,5.0,3,11,7,11,0,3,0,3,3,3,7,61838,0,1,0,7,"$3,586.58",11,7,"$1,407.94",56,2194,127,1528,525,5,9,1669,4,266,1,12,6,0,2194,0,1,0,0,0,0,1,4,17,0,1,0,18,,,
80,FREESTONE,1584,3337,72,58,44,50,7,6,4,182,158,0,239,165,159,24,215,1,4704,62,13.2,139,36,25.9%,12,0,,,23,4.9,8,25,21,15,0,7,0,1,1,6,20,339463,0,0,0,1,$400.00,25,4,$105.75,42,4704,875,2988,809,4,28,3652,9,515,1,12,11,4,4704,0,5,1,0,0,0,6,68,42,0,0,0,42,,,
81,FRIO,1381,1979,59,52,26,18,1,0,0,294,266,3,377,298,282,88,289,14,4800,69,14.4,196,36,18.4%,32,1,,,82,17.1,18,82,42,70,0,19,2,19,17,14,42,502509,0,3,1,10,"$5,855.00",82,14,$627.50,129,4800,10,536,4225,1,28,3772,6,403,3,36,15,1,4800,0,15,0,0,0,0,15,62,10,0,0,0,10,,,
82,GAINES,1181,1781,42,36,29,40,0,0,0,134,121,0,170,103,81,48,122,8,4889,64,13.1,93,36,38.7%,13,5,,,24,4.9,9,22,7,22,0,9,1,1,1,14,7,116389,0,2,0,12,"$8,025.00",22,0,$0.00,67,4889,66,2449,2354,3,17,3900,2,102,2,24,4,2,4889,0,5,0,0,0,0,5,12,3,0,1,0,4,,,
83,GALVESTON,24717,33628,1075,805,608,698,23,16,3,2926,2624,27,3391,2660,2049,726,2665,120,71099,653,9.2,2090,411,19.7%,648,99,2,0,377,5.3,132,359,185,306,0,135,10,48,36,124,181,1973193,3,25,27,133,"$67,884.00",359,71,"$19,670.84",1161,71099,12458,34913,21231,197,2300,54612,127,14281,21,252,70,78,71099,1,95,2,0,1,0,99,305,314,489,56,0,859,,,
84,GARZA,427,891,19,16,15,30,0,0,0,82,73,0,100,58,56,23,77,1,1267,38,30.0,56,22,39.3%,18,3,,,6,4.7,1,6,6,1,0,1,0,0,0,0,6,97853,0,1,0,0,$0.00,6,0,$0.00,26,1267,66,597,595,0,9,955,2,80,0,0,3,0,1267,0,1,0,0,0,0,1,2,13,0,0,0,13,,,
85,GILLESPIE,1837,6388,74,65,51,56,6,2,0,174,149,0,176,137,128,36,140,8,4535,39,8.6,110,27,24.5%,15,1,,,53,11.7,22,54,22,39,0,22,0,8,11,6,22,210525,0,0,3,9,"$2,900.00",54,5,$287.93,80,4535,5,2896,1615,1,18,3358,11,616,4,48,7,5,4535,0,9,0,0,0,0,9,30,60,0,26,0,86,,,
86,GLASSCOCK,124,224,2,1,1,4,0,0,0,4,2,0,1,1,1,0,1,0,381,0,0.0,1,0,0.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,0,381,3,223,155,0,0,282,1,12,0,0,0,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,GOLIAD,624,1422,30,27,13,10,0,0,0,79,62,0,91,86,70,8,83,0,1670,5,3.0,55,5,9.1%,10,1,,,4,2.4,0,4,4,2,0,0,0,1,1,1,4,103559,0,1,1,4,$756.00,4,2,$45.00,7,1670,82,652,930,0,6,1286,2,104,0,0,3,0,1670,0,11,1,0,0,0,12,69,36,0,0,0,36,,,
88,GONZALES,1596,3255,69,49,30,33,1,1,0,314,238,2,248,223,208,25,223,2,5308,25,4.7,147,15,10.2%,55,14,,,45,8.5,0,44,30,30,0,2,0,6,16,8,28,353889,0,0,1,7,"$10,722.50",44,5,$112.50,42,5308,586,1758,2936,4,24,4210,9,480,1,12,7,0,5308,0,9,1,0,1,0,11,159,12,0,0,0,12,,,
89,GRAY,1682,3877,115,118,88,181,1,1,0,356,321,3,409,315,274,97,312,21,5101,85,16.7,253,55,21.7%,42,4,,,87,17.1,27,82,64,65,0,30,5,9,8,24,62,827234,1,1,0,14,"$21,971.00",82,15,"$3,748.09",149,5101,277,3488,1258,19,59,3820,12,845,0,0,6,0,5101,0,6,1,0,0,0,7,32,46,0,0,0,46,,,
90,GRAYSON,9710,18626,728,560,387,309,19,16,3,1509,1311,10,1754,1417,1126,120,1634,21,28321,285,10.1,1042,190,18.2%,136,31,,,204,7.2,38,190,141,141,0,38,2,35,26,48,141,1793031,3,9,2,88,"$65,593.52",190,21,"$8,350.85",274,28321,2503,20464,4587,216,551,22063,36,2894,7,84,44,23,28321,0,28,1,0,0,0,29,89,329,0,25,9,363,,,
91,GREGG,9302,16241,625,502,395,409,43,49,4,1552,1330,10,1897,1423,1191,308,1589,70,30598,435,14.2,1144,247,21.6%,243,45,2,0,283,9.2,82,286,227,217,0,82,11,59,27,56,221,3032635,4,6,3,160,"$133,391.78",286,50,"$9,399.11",432,30598,7431,15542,7168,56,401,23848,52,5611,5,60,57,22,30598,2,35,0,0,1,0,38,113,289,0,0,0,289,,,
92,GRIMES,2232,3880,92,79,69,49,0,0,0,257,230,0,346,207,186,58,288,19,6033,120,19.9,182,65,35.7%,34,6,,,52,8.6,21,52,37,46,0,21,2,12,9,20,41,473506,1,0,2,18,"$12,219.63",52,6,$983.37,90,6033,1269,3214,1523,2,25,4666,8,330,11,131,6,4,6033,0,4,0,0,0,0,4,6,134,0,0,0,134,,,
93,GUADALUPE,10007,13113,430,299,168,159,16,8,1,1463,1132,10,1476,1084,966,323,1153,30,29951,348,11.6,858,196,22.8%,164,40,1,0,118,3.9,35,113,56,79,0,34,1,10,17,25,57,700599,0,10,10,28,"$16,909.49",113,58,"$16,992.55",506,29951,1790,13582,14199,22,358,22016,33,2619,2,24,36,35,29951,0,65,0,0,1,0,66,212,122,0,21,25,168,,,
94,HALE,2800,4718,130,129,112,152,5,5,2,460,408,4,622,404,367,155,467,28,11057,202,18.3,329,96,29.2%,107,22,,,163,14.7,27,152,113,121,0,28,4,39,15,45,119,1647408,0,8,1,7,"$12,210.00",152,8,$572.06,260,11057,538,3163,7296,17,43,8792,8,730,5,60,12,5,11057,0,15,0,0,0,0,15,43,57,0,0,0,57,,,
95,HALL,274,793,19,15,15,21,0,0,0,37,33,0,36,23,18,13,23,0,999,8,8.0,22,4,18.2%,4,0,1,0,10,10.0,0,10,10,3,0,0,1,0,0,2,10,218492,0,0,0,1,"$5,000.00",10,1,$56.55,18,999,88,439,467,0,5,770,1,37,0,0,1,0,999,0,0,0,0,0,0,0,0,11,0,0,0,11,,,
96,HAMILTON,629,1975,54,34,19,17,0,0,0,112,101,1,134,94,91,17,117,8,1792,35,19.5,75,21,28.0%,12,2,,,19,10.6,12,18,16,17,0,12,0,1,1,3,16,158087,0,1,0,3,"$5,860.14",18,1,$22.75,38,1792,0,1502,284,2,4,1348,3,131,0,0,6,8,1792,1,6,0,0,0,0,7,27,29,0,0,0,29,,,
97,HANSFORD,424,900,5,4,3,10,0,0,0,46,42,0,43,33,28,5,38,1,1585,8,5.0,26,5,19.2%,3,0,,,1,0.6,2,1,1,1,0,1,0,0,0,1,1,13597,0,0,0,0,$0.00,1,1,$65.00,8,1585,5,722,851,1,6,1230,2,91,0,0,5,0,1585,0,0,0,0,0,0,0,0,1,0,7,0,8,,,
98,HARDEMAN,357,974,69,58,49,54,0,0,0,63,50,0,69,56,47,9,60,0,1045,13,12.4,39,10,25.6%,3,0,,,5,4.8,0,6,5,3,0,0,0,0,1,2,5,50776,0,1,0,0,$0.00,6,0,$0.00,14,1045,44,704,285,6,6,820,2,95,5,60,5,1,1045,0,1,0,0,0,0,1,5,60,0,0,0,60,,,
99,HARDIN,4212,7217,201,174,126,231,2,1,0,594,486,5,636,491,464,59,577,12,12905,129,10.0,387,84,21.7%,46,8,,,68,5.3,16,66,50,55,0,16,8,15,7,12,48,727637,0,4,3,23,"$11,926.71",66,22,"$1,879.35",101,12905,1259,11015,558,11,62,9680,15,1681,0,0,2,2,12905,0,15,0,0,0,0,15,48,29,0,0,0,29,,,
100,HARRIS,324486,300474,11353,9181,6547,7431,301,296,25,30794,25428,239,34277,26674,20672,6610,27667,1408,1070831,6671,6.2,20671,4223,20.4%,5066,560,67,2,6944,6.5,1866,6837,4122,4651,3,1943,219,911,702,1333,3994,50914926,42,146,199,3050,"$2,794,707.10",6837,438,"$140,704.23",11807,1070831,187558,265480,555057,1792,60944,850501,1548,170358,119,1415,996,1816,1070831,42,1367,12,8,29,2,1460,5827,829,3132,477,0,4438,,,
101,HARRISON,5333,8524,294,239,200,252,1,2,0,698,610,6,868,632,534,118,750,20,15271,213,13.9,519,126,24.3%,72,6,,,104,6.8,36,101,80,64,0,42,3,4,9,20,79,1119946,5,5,4,59,"$50,349.67",101,27,"$5,407.83",195,15271,3822,9019,2327,8,95,11591,18,1719,5,60,54,7,15271,0,25,2,0,1,0,28,175,107,0,90,0,197,,,
102,HARTLEY,496,728,8,4,3,4,0,0,0,24,18,0,30,25,25,0,30,0,1208,5,4.1,19,2,10.5%,9,0,,,4,3.3,0,5,1,1,0,0,0,0,0,1,1,14085,0,0,0,0,$0.00,5,0,$0.00,0,1208,5,1053,146,1,3,979,1,150,0,0,0,1,1208,0,1,0,0,0,0,1,6,13,0,0,0,13,,,
103,HASKELL,451,1426,67,63,60,73,1,0,0,41,38,4,45,37,26,10,35,2,1329,8,6.0,25,4,16.0%,15,2,,,5,3.8,2,4,4,5,0,2,0,2,0,1,4,34928,0,0,0,2,$866.28,4,1,$36.48,25,1329,42,793,488,0,6,1049,2,105,1,12,2,1,1329,0,0,0,0,0,0,0,0,24,0,0,0,24,,,
104,HAYS,13936,12284,269,228,128,127,7,6,1,1198,915,10,1342,1024,884,142,1200,48,34046,283,8.3,802,182,22.7%,133,26,1,0,154,4.5,54,151,88,133,0,50,2,24,40,47,86,883643,0,7,11,32,"$34,916.47",151,9,"$5,654.04",217,34046,1220,17105,15337,54,330,26470,75,5308,9,108,51,30,34046,1,81,1,0,2,0,85,509,526,0,123,0,649,,,
105,HEMPHILL,279,608,7,5,4,3,0,0,0,24,21,0,38,30,29,5,33,2,807,7,8.7,19,5,26.3%,1,1,,,2,2.5,2,3,1,3,0,2,0,0,0,1,1,7117,0,0,0,1,$487.00,3,0,$0.00,5,807,1,560,243,0,3,634,1,68,0,0,2,0,807,0,1,0,0,0,0,1,3,3,0,0,0,3,,,
106,HENDERSON,6487,16225,564,468,377,547,0,0,0,1034,894,5,1133,747,588,295,838,57,18783,354,18.8,674,210,31.2%,112,33,2,0,266,14.2,96,238,170,222,0,97,6,39,26,83,161,1940613,1,8,3,123,"$108,653.20",238,108,"$25,093.23",544,18783,1806,13515,3316,30,116,14496,15,1608,4,48,22,2,18783,1,39,0,0,0,0,40,139,57,0,1,0,58,,,
107,HIDALGO,57099,67003,2596,2235,1541,1998,53,35,4,8309,7379,56,11713,8294,7032,2466,9247,127,252901,2956,11.7,6285,1522,24.2%,1303,248,10,0,704,2.8,225,680,553,555,0,231,61,2,0,328,547,5580821,4,14,5,339,"$368,970.67",680,375,"$42,945.95",4388,252901,365,11423,238992,143,1978,198825,360,25493,118,1413,205,150,252901,7,131,1,0,0,0,139,675,475,1367,635,0,2477,,,
108,HILL,2754,6563,143,109,76,94,1,1,0,384,344,2,499,362,340,44,455,16,9088,118,13.0,287,65,22.6%,38,8,1,0,63,6.9,21,61,53,43,0,21,0,14,3,10,52,734632,0,1,0,12,"$12,000.00",61,2,$135.85,86,9088,872,5681,2504,3,28,7076,10,479,3,36,9,5,9088,0,7,1,0,0,0,8,100,55,0,1,0,56,,,
109,HOCKLEY,1844,3179,117,89,81,153,0,0,0,291,266,3,406,252,233,81,325,20,6615,137,20.7,214,69,32.2%,36,2,1,0,108,16.3,16,97,68,55,0,15,5,8,7,22,67,927959,0,2,2,4,"$1,337.50",97,0,$0.00,171,6615,236,2916,3439,5,19,5284,11,518,6,72,11,1,6615,0,12,0,0,1,0,13,51,48,0,0,0,48,,,
110,HOOD,4167,10381,136,115,77,103,3,3,0,635,545,5,735,470,339,140,595,11,10261,233,22.7,423,137,32.4%,107,31,,,54,5.3,12,54,39,40,0,12,2,6,9,14,40,552841,0,1,2,31,"$22,253.22",54,11,"$1,989.05",258,10261,32,8226,1896,32,75,7659,19,1584,4,48,12,10,10261,0,13,0,0,0,0,13,31,45,0,11,0,56,,,
111,HOPKINS,2632,5794,169,151,107,142,2,2,1,428,354,2,486,362,330,75,411,22,8683,108,12.4,293,65,22.2%,36,9,,,86,9.9,30,78,56,73,0,31,6,8,8,26,56,734980,0,3,0,36,"$27,854.12",78,33,"$5,438.00",132,8683,806,6168,1634,15,60,6702,11,1110,5,60,14,3,8683,2,9,0,0,0,0,11,39,140,0,31,0,171,,,
112,HOUSTON,1969,4516,394,339,306,251,0,0,0,218,187,1,243,203,191,27,216,8,4929,38,7.7,145,23,15.9%,27,0,1,0,31,6.3,7,30,23,18,0,7,2,3,3,8,23,343274,0,2,2,13,"$12,386.29",30,5,$559.68,28,4929,1636,2619,649,3,22,3737,2,146,3,36,5,6,4929,0,8,0,0,0,0,8,21,15,0,0,0,15,,,
113,HOWARD,2834,5066,303,234,168,89,216,188,24,482,428,4,707,424,358,230,477,36,7837,256,32.7,372,132,35.5%,154,33,4,0,118,15.1,45,112,78,104,0,46,2,29,7,34,76,1085018,0,0,1,44,"$29,217.19",112,19,"$4,806.50",291,7837,348,3691,3729,3,66,6136,14,1189,0,0,8,1,7837,0,5,0,0,0,0,5,11,18,0,0,0,18,,,
114,HUDSPETH,303,606,16,9,9,8,0,0,0,18,14,0,15,9,8,1,14,0,1001,6,6.0,11,4,36.4%,8,0,,,3,3.0,0,3,3,0,0,0,0,0,0,0,4,71774,0,0,0,0,$0.00,3,0,$0.00,4,1001,0,151,845,5,0,697,1,17,0,0,1,0,1001,0,0,0,0,0,0,0,0,30,0,0,0,30,,,
115,HUNT,7273,10923,545,419,355,466,7,5,1,1009,900,10,1094,832,659,211,883,92,21521,238,11.1,631,136,21.6%,85,18,1,0,239,11.1,105,239,161,217,0,104,5,39,28,79,153,1305929,0,12,0,163,"$50,465.14",239,11,"$3,595.18",253,21521,2834,13763,4544,78,302,16740,23,2477,5,60,31,12,21521,0,34,1,0,1,0,36,194,210,0,13,0,223,,,
116,HUTCHINSON,1779,3661,114,99,90,176,0,0,0,306,277,5,398,308,257,72,326,20,5889,85,14.4,230,47,20.4%,15,3,,,63,10.7,19,62,49,51,0,19,4,1,6,22,48,594128,1,2,1,10,"$6,154.50",62,16,"$3,130.16",106,5889,227,4026,1559,37,40,4613,6,317,3,36,8,4,5889,0,10,0,0,0,0,10,41,29,0,0,0,29,,,
117,IRION,159,409,4,5,4,6,0,0,0,9,9,0,13,8,8,5,8,0,295,2,6.8,6,1,16.7%,0,0,,,2,6.8,0,1,1,1,0,0,0,0,0,1,1,25630,0,0,0,0,$0.00,1,0,$0.00,5,295,1,197,97,0,0,210,1,20,0,0,1,1,295,0,0,0,0,0,0,0,0,6,0,0,0,6,,,
118,JACK,702,1424,82,66,53,49,0,0,0,105,91,0,105,72,68,33,72,1,1958,33,16.9,64,16,25.0%,23,11,,,5,2.6,1,5,7,1,0,1,0,0,0,0,6,159616,0,2,0,2,"$1,300.00",5,1,$36.48,48,1958,19,1675,240,17,7,1532,0,0,3,36,1,3,1958,0,2,0,0,0,0,2,5,26,0,0,0,26,,,
119,JACKSON,1160,2382,40,31,15,11,0,0,0,148,124,1,145,116,87,22,123,2,3745,25,6.7,81,16,19.8%,18,5,,,24,6.4,7,25,16,19,0,7,2,9,1,7,15,133312,1,7,0,4,$662.50,25,1,$22.50,38,3745,300,2063,1344,4,34,2971,6,306,5,60,11,2,3745,0,11,0,0,0,0,11,46,76,0,0,0,76,,,
120,JASPER,2843,6221,262,210,157,226,4,2,0,420,363,2,491,418,356,63,428,12,9023,61,6.8,297,40,13.5%,59,9,,,51,5.7,17,47,37,38,0,18,4,8,1,14,37,338460,2,4,2,24,"$21,309.67",47,10,"$3,790.72",99,9023,2039,6323,583,11,67,7022,6,658,2,24,8,5,9023,0,13,0,0,0,0,13,34,48,0,0,0,48,,,
121,JEFF DAVIS,228,593,6,6,6,3,0,0,0,11,11,0,11,7,7,3,8,0,385,4,10.4,6,3,50.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,$0.00,0,0,$0.00,6,385,6,212,166,0,1,287,0,0,0,0,2,1,385,0,2,0,0,1,0,3,87,0,0,0,0,0,0,0,0
122,JEFFERSON,20680,31060,1518,1215,881,808,63,47,12,2447,2142,21,3228,2468,2129,368,2860,63,63079,661,10.5,1932,437,22.6%,336,68,1,0,256,4.1,71,252,204,186,0,73,8,35,37,49,198,2048102,9,37,17,302,"$301,398.52",252,45,"$22,805.00",564,63079,24482,21735,13834,109,2919,48722,84,8310,6,72,16,30,63079,5,117,4,0,1,0,127,553,341,0,0,0,341,,,
