,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location*,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2004,Subsequently Confirmed Victims in Fiscal Years 2004 - 2009,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes,Foster/ Adoptive Homes*,Adoptive Homes**,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA)**,Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP,TOTAL,CBCAP,FSP,TFTS
190,RANDALL,9559,13824,329,313,211,216,62,50,12,1181,1038,3,1324,842,680,332,992,144,25338,453,17.9,799,262,32.8%,123,26,2,0,403,15.9,137,386,272,305,0,156,15,20,55,84,268,3761335,2,28,8,78,"$44,161.64",386,33,"$5,217.66",457,25338,659,18851,5253,86,489,18934,47,4680,2,24,59,52,25338,2,99,3,0,0,0,104,448,89,0,11,0,100,,,
191,REAGAN,294,485,14,13,10,3,0,0,0,49,48,0,52,41,38,12,40,5,1001,11,11.0,33,8,24.2%,1,0,,,9,9.0,1,9,6,9,0,1,0,1,3,4,6,14900,0,0,0,2,"$8,000.00",9,0,$0.00,32,1001,25,298,676,0,2,791,1,60,0,0,0,0,1001,0,1,0,0,0,0,1,2,2,0,0,0,2,,,
192,REAL,246,909,16,13,9,7,0,0,0,42,32,0,33,26,24,9,24,0,591,7,11.8,19,3,15.8%,3,0,,,6,10.2,0,6,5,3,0,0,0,1,0,2,5,128330,0,0,0,0,$0.00,6,0,$0.00,13,591,4,409,175,0,3,427,5,153,0,0,1,0,591,0,1,0,0,0,0,1,3,2,0,0,0,2,,,
193,RED RIVER,1104,2907,109,87,53,60,2,1,0,147,122,1,165,113,84,38,127,10,3364,45,13.4,90,25,27.8%,18,5,,,32,9.5,11,31,17,19,0,11,0,0,0,13,17,230322,0,2,0,13,"$4,315.17",31,21,"$3,315.13",69,3364,686,2264,404,3,7,2590,2,155,4,48,11,1,3364,0,2,0,0,0,0,2,6,12,0,0,0,12,,,
194,REEVES,1019,1891,128,100,90,75,1,1,0,164,129,0,172,97,87,53,119,8,3361,74,22.0,97,40,41.2%,19,5,,,20,6.0,8,19,6,19,0,8,3,5,0,6,8,94870,0,1,0,10,"$6,473.14",19,3,$546.96,84,3361,48,338,2966,0,9,2660,3,179,3,36,0,0,3361,0,1,0,0,0,0,1,3,18,0,0,0,18,,,
195,REFUGIO,657,1506,35,29,25,27,0,0,0,73,69,0,112,69,57,43,69,0,2034,41,20.2,58,21,36.2%,23,4,,,2,1.0,2,2,2,2,0,2,0,0,0,0,2,2172,0,1,1,0,$0.00,2,4,"$2,688.38",60,2034,143,676,1196,4,15,1609,3,119,1,12,7,1,2034,0,2,0,0,0,0,2,5,41,0,0,0,41,,,
196,ROBERTS,79,203,0,0,0,0,0,0,0,4,4,0,5,3,3,2,3,0,175,2,11.4,3,1,33.3%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,2,175,1,166,8,0,0,140,0,0,0,0,1,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,ROBERTSON,1301,2922,73,60,43,47,1,1,0,160,139,1,173,145,134,15,158,0,4456,24,5.4,107,14,13.1%,38,13,,,30,6.7,3,28,10,26,0,3,3,7,8,5,11,195768,0,0,4,12,"$15,200.00",28,1,$22.75,45,4456,1311,2055,1065,5,20,3407,4,321,3,36,4,2,4456,0,6,0,0,0,0,6,5,100,0,0,0,100,,,
198,ROCKWALL,6943,7207,123,103,74,70,0,0,0,497,427,1,446,365,242,59,387,11,20102,73,3.6,278,45,16.2%,32,7,1,0,46,2.3,15,39,21,40,0,15,3,4,3,19,20,290140,0,5,4,21,"$15,964.17",39,1,$113.10,100,20102,753,14968,4106,38,237,14172,29,3253,6,72,11,4,20102,0,21,0,0,0,0,21,49,116,0,195,5,316,,,
199,RUNNELS,871,2112,120,106,78,51,1,0,0,121,97,1,140,91,89,37,103,8,2847,43,15.1,76,23,30.3%,14,5,,,37,13.0,10,38,26,26,0,11,4,3,2,9,23,300348,1,1,0,3,"$1,272.96",38,6,$665.49,70,2847,32,1493,1303,2,17,2209,5,175,3,36,6,2,2847,0,3,0,0,0,0,3,6,20,0,0,0,20,,,
200,RUSK,4009,7985,229,172,111,134,0,0,0,529,455,3,597,429,396,77,520,19,11716,148,12.6,358,98,27.4%,47,7,1,0,67,5.7,28,69,36,52,0,29,9,8,6,13,35,416862,0,3,2,39,"$25,943.89",69,13,"$5,916.70",155,11716,2299,7010,2338,9,60,9041,10,708,6,72,9,5,11716,0,16,0,0,0,0,16,59,62,0,85,0,147,,,
201,SABINE,798,3105,77,69,63,67,2,2,1,108,93,2,115,105,81,5,110,0,2050,9,4.4,75,6,8.0%,11,3,,,3,1.5,0,3,3,3,0,0,0,1,0,2,3,60290,0,1,0,3,"$1,360.00",3,0,$0.00,11,2050,251,1705,87,2,5,1585,2,180,0,0,1,0,2050,0,1,0,0,0,0,1,6,12,0,0,0,12,,,
202,SAN AUGUSTINE,734,2086,60,54,49,43,2,1,0,60,52,0,73,56,46,9,64,1,2079,11,5.3,41,8,19.5%,3,1,,,4,1.9,1,4,1,4,0,1,0,0,0,4,1,1136,0,4,0,4,$999.65,4,0,$0.00,14,2079,856,1091,126,0,6,1633,4,158,1,12,1,0,2079,0,10,0,0,0,0,10,49,51,0,34,0,85,,,
203,SAN JACINTO,1999,4733,197,174,139,120,0,0,0,356,322,1,390,296,244,54,336,23,5484,86,15.7,224,48,21.4%,49,9,,,67,12.2,29,63,49,57,0,29,3,5,7,19,50,739984,2,1,0,15,"$11,759.80",63,10,$856.03,73,5484,921,4157,359,6,41,4052,2,137,0,0,6,0,5484,0,7,0,0,0,0,7,25,21,0,0,0,21,,,
204,SAN PATRICIO,5703,7969,293,252,148,154,6,5,1,1027,967,9,1492,960,796,545,947,18,21629,489,22.6,826,260,31.5%,266,66,1,0,79,3.7,24,71,54,60,0,23,1,6,16,26,50,705190,0,3,3,27,"$38,261.92",71,91,"$21,015.29",786,21629,702,7433,13274,14,206,16727,31,2091,3,36,24,3,21629,0,25,2,0,1,0,28,217,337,0,22,0,359,,,
205,SAN SABA,469,1288,18,12,7,4,0,0,0,48,39,0,58,33,32,16,42,0,1386,24,17.3,37,15,40.5%,8,0,,,18,13.0,0,18,15,9,0,0,0,0,7,2,14,328923,0,0,0,8,"$9,232.40",18,0,$0.00,36,1386,3,903,476,2,2,1077,1,31,1,12,2,3,1386,1,10,1,0,0,0,12,121,11,0,0,0,11,,,
206,SCHLEICHER,251,580,9,8,7,8,0,0,0,22,21,0,218,90,43,182,36,1,740,118,159.5,65,30,46.2%,5,1,,,9,12.2,0,5,1,9,0,0,0,1,3,5,2,26011,0,0,0,2,"$5,000.00",5,0,$0.00,420,740,4,266,466,0,4,591,1,20,1,12,0,0,740,0,0,0,0,0,0,0,0,4,0,0,0,4,,,
207,SCURRY,1307,2521,79,69,52,68,0,0,0,253,222,2,300,211,169,87,213,4,4025,68,16.9,168,46,27.4%,37,12,2,0,23,5.7,5,20,18,21,0,5,0,5,6,8,19,189457,0,3,1,8,"$7,629.00",20,5,$669.36,125,4025,156,2158,1699,1,11,3154,4,353,1,12,2,1,4025,0,10,0,0,0,0,10,32,42,0,0,0,42,,,
208,SHACKELFORD,260,624,30,23,20,15,0,0,0,48,38,0,66,45,42,18,48,0,800,16,20.0,33,5,15.2%,5,0,,,2,2.5,0,2,1,2,0,1,0,0,1,0,0,0,0,0,0,1,"$5,000.00",2,0,$0.00,19,800,3,704,93,0,0,621,1,51,0,0,2,1,800,0,4,0,0,0,0,4,14,1,0,0,0,1,,,
209,SHELBY,2033,4392,174,142,132,167,0,0,0,308,265,2,354,289,256,33,321,12,6937,47,6.8,191,34,17.8%,40,6,,,52,7.5,16,51,36,33,0,16,4,0,5,9,37,452593,1,2,1,33,"$57,319.32",51,7,$609.28,39,6937,1603,3750,1560,4,20,5407,5,288,0,0,1,1,6937,1,26,0,0,0,0,27,129,66,0,3,0,69,,,
210,SHERMAN,258,534,7,6,6,7,0,0,0,14,12,0,28,21,20,0,28,1,809,6,7.4,10,2,20.0%,3,0,,,7,8.7,1,5,5,4,0,1,0,0,3,0,2,65655,0,1,1,0,$0.00,5,0,$0.00,2,809,3,509,291,2,4,584,1,51,0,0,1,1,809,0,3,0,0,0,0,3,6,4,0,1,0,5,,,
211,SMITH,15469,28358,1023,837,648,779,33,33,6,1969,1531,12,2237,1672,1452,307,1930,98,51094,517,10.1,1363,331,24.3%,109,12,4,0,330,6.5,119,333,227,267,0,127,21,49,16,90,223,2941830,4,18,9,219,"$158,247.61",333,18,"$6,402.11",497,51094,10439,25610,14252,105,688,39428,90,8451,7,84,58,13,51094,9,126,2,0,3,1,141,639,396,0,107,0,503,,,
212,SOMERVELL,712,1176,7,7,5,8,0,0,0,82,68,0,83,55,40,15,68,0,2124,26,12.2,52,17,32.7%,17,6,,,4,1.9,2,4,4,4,0,2,0,2,0,0,4,30720,0,0,0,8,"$16,786.00",4,2,$130.00,24,2124,11,1567,535,2,9,1575,5,334,1,0,3,1,2124,0,2,0,0,0,1,3,12,48,0,0,0,48,,,
213,STARR,4749,5845,253,202,101,132,0,0,0,447,415,6,670,406,369,248,422,18,23950,245,10.2,377,142,37.7%,156,32,1,0,92,3.8,35,94,79,57,0,37,5,0,1,25,80,929421,1,2,1,19,"$13,755.21",94,24,$905.59,443,23950,0,277,23609,11,53,18934,27,1533,4,48,14,8,23950,0,9,0,0,0,0,9,50,60,0,0,0,60,,,
214,STEPHENS,753,1768,76,59,41,42,0,0,0,148,128,3,168,130,122,29,139,13,2396,38,15.9,92,19,20.7%,25,10,1,0,23,9.6,12,23,17,20,0,13,0,1,1,6,17,113999,0,1,0,0,$0.00,23,2,$72.96,48,2396,41,1617,736,1,1,1870,4,254,1,12,8,1,2396,0,5,0,0,0,0,5,17,15,0,0,0,15,,,
215,STERLING,126,252,3,3,2,0,0,0,0,12,8,0,18,18,18,0,18,0,296,0,0.0,7,0,0.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,2,296,1,167,128,0,0,216,0,0,1,12,2,0,296,0,1,0,0,0,0,1,4,1,0,0,0,1,,,
216,STONEWALL,126,429,13,9,6,8,0,0,0,10,6,0,7,4,3,4,3,0,338,2,5.9,4,1,25.0%,2,2,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,$426.32,0,0,$0.00,5,338,6,264,68,0,0,261,1,36,1,12,0,0,338,0,1,0,0,0,0,1,4,4,0,0,0,4,,,
217,SUTTON,367,710,21,19,18,19,0,0,0,57,50,0,56,42,42,14,42,2,1135,11,9.7,36,6,16.7%,5,0,,,6,5.3,2,6,2,6,0,2,0,0,2,2,2,7199,1,0,0,0,$0.00,6,0,$0.00,33,1135,2,412,719,0,2,880,2,63,1,12,2,1,1135,0,1,0,0,0,0,1,6,6,0,0,0,6,,,
218,SWISHER,642,1384,34,24,21,39,0,0,0,77,69,0,122,103,100,7,115,0,2354,14,5.9,61,11,18.0%,21,9,,,21,8.9,0,21,20,3,0,0,1,1,0,1,24,398424,0,0,0,0,$0.00,21,0,$0.00,30,2354,130,1069,1153,2,0,1902,2,200,0,0,4,2,2354,0,5,0,0,0,0,5,25,5,0,0,0,5,,,
219,TARRANT,143928,145713,4092,3094,1664,1405,237,221,32,19659,17017,138,21238,14529,9723,4228,17010,450,474768,6030,12.7,12476,3545,28.4%,1561,350,13,0,1966,4.1,591,1892,1565,1471,25,596,80,237,282,430,1520,18840832,13,87,34,903,"$797,321.00",1892,213,"$62,375.71",7002,474768,73053,204266,169725,1511,26213,371772,656,70652,83,992,444,820,474768,35,712,5,0,0,1,753,2449,1219,856,290,412,2777,,,
220,TAYLOR,10209,15873,1415,1222,968,758,531,453,108,1923,1704,15,2392,1624,1445,619,1773,64,33995,679,20.0,1348,392,29.1%,310,81,2,0,238,7.0,80,230,171,186,0,89,7,31,21,59,171,2255434,1,25,1,222,"$243,734.53",230,49,"$5,147.10",743,33995,3214,19955,9781,66,979,27664,56,5360,2,24,61,51,33995,8,80,4,0,1,0,93,393,350,0,181,0,531,,,
221,TERRELL,91,288,3,4,3,3,0,0,0,5,3,0,4,2,2,0,4,0,178,2,11.2,3,2,66.7%,0,0,,,3,16.9,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,$0.00,3,0,$0.00,0,178,0,79,94,4,1,118,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,2,0,0,0,2,,,
222,TERRY,1021,1960,61,70,61,172,0,0,0,183,159,2,196,124,111,48,148,9,3623,70,19.3,115,41,35.7%,24,9,,,41,11.3,10,42,30,25,0,10,0,4,5,7,32,359090,0,2,0,3,$65.00,42,1,$35.00,66,3623,143,1269,2191,1,19,2914,2,172,2,24,5,3,3623,0,5,0,0,0,0,5,18,48,0,0,0,48,,,
223,THROCKMORTON,134,482,9,8,5,10,0,0,0,13,12,0,22,18,15,5,17,0,383,3,7.8,14,2,14.3%,2,0,,,1,2.6,0,2,2,0,0,0,0,0,0,0,1,7826,0,0,0,0,$0.00,2,0,$0.00,5,383,0,316,66,0,1,289,0,0,0,0,1,1,383,0,0,0,0,0,0,0,0,2,0,3,0,5,,,
224,TITUS,2338,3969,96,84,69,141,1,1,0,343,277,5,416,252,218,113,303,47,9387,152,16.2,239,86,36.0%,57,10,1,0,110,11.7,51,106,51,89,0,54,2,10,1,30,54,581085,0,1,0,39,"$29,681.39",106,128,"$16,125.84",179,9387,924,3703,4673,19,68,7329,8,1159,0,0,14,2,9387,0,3,0,0,0,0,3,14,19,0,0,0,19,,,
225,TOM GREEN,8094,14280,1192,981,848,989,901,849,58,1525,1359,12,1738,1174,1035,447,1291,79,25926,516,19.9,1085,326,30.0%,188,39,2,0,424,16.4,97,418,285,259,0,96,10,59,51,52,280,3784066,1,10,0,230,"$282,275.60",418,50,"$9,926.51",850,25926,1253,11944,12320,44,365,20567,50,4768,4,48,49,27,25926,1,30,3,0,0,0,34,208,372,0,144,0,516,,,
226,TRAVIS,78868,64937,3227,2688,1734,1694,905,1026,99,11956,8974,58,10786,8708,7681,1084,9702,228,218088,1777,8.1,6341,1117,17.6%,823,173,5,0,1233,5.7,369,1218,868,985,0,372,32,187,254,277,843,11775678,3,28,40,869,"$1,381,571.08",1218,143,"$45,075.09",1958,218088,23360,81335,101250,415,11728,176564,460,42907,42,504,242,194,218088,26,353,5,1,4,0,389,1338,799,1433,222,0,2454,,,
227,TRINITY,1112,3801,178,142,128,221,0,0,0,191,161,4,246,185,169,31,215,12,3115,58,18.6,144,33,22.9%,45,8,,,43,13.8,15,43,32,27,0,15,0,3,3,8,32,298565,0,0,3,13,"$7,434.33",43,1,$27.00,37,3115,602,2149,339,4,21,2444,5,339,0,0,0,0,3115,0,6,0,0,0,0,6,14,7,0,0,0,7,,,
228,TYLER,1675,4389,192,160,120,162,0,0,0,249,206,1,304,253,229,12,292,4,4714,41,8.7,176,31,17.6%,25,9,,,19,4.0,6,15,13,13,0,6,1,1,0,6,13,171739,0,6,6,20,"$10,934.08",15,1,$237.21,32,4714,619,3942,130,5,18,3571,5,282,3,36,2,0,4714,0,18,1,0,1,0,20,96,31,0,0,0,31,,,
229,UPSHUR,3054,6209,204,184,133,184,1,1,0,518,410,3,603,449,360,123,480,33,9084,143,15.7,343,74,21.6%,40,9,,,101,11.1,47,96,57,93,0,62,3,11,3,39,57,379540,1,2,5,57,"$36,396.59",96,45,"$4,726.67",190,9084,971,7061,964,15,73,6894,7,487,3,36,17,0,9084,0,19,0,0,0,0,19,76,76,0,0,0,76,,,
230,UPTON,293,661,25,20,14,4,0,0,0,52,38,0,63,40,33,22,41,0,871,23,26.4,38,13,34.2%,5,1,,,11,12.6,0,11,6,7,0,0,2,0,0,5,6,105461,1,1,0,1,"$1,140.00",11,4,"$1,897.68",22,871,5,330,534,2,0,675,1,20,0,0,1,0,871,0,2,0,0,0,0,2,6,3,0,0,0,3,,,
231,UVALDE,2109,3652,98,99,42,31,4,2,0,313,249,5,270,209,202,58,212,12,8709,58,6.7,162,31,19.1%,42,8,,,93,10.7,17,87,40,52,1,15,0,7,14,17,39,831270,0,1,2,8,"$11,783.02",87,25,"$3,047.84",84,8709,19,1616,7024,4,46,6897,16,1183,2,24,7,1,8709,0,7,0,0,0,0,7,19,85,0,0,0,85,,,
232,VAL VERDE,3823,6033,204,184,140,95,11,5,0,337,283,4,407,331,303,66,341,17,15177,67,4.4,207,34,16.4%,61,11,1,0,52,3.4,20,50,33,32,0,22,1,3,1,8,31,499372,0,2,1,7,"$5,212.50",50,4,$90.00,89,15177,156,2217,12670,15,119,12012,16,1253,2,24,17,5,15177,1,17,0,0,0,0,18,44,463,0,0,128,591,,,
233,VAN ZANDT,4189,10009,285,237,179,218,0,0,0,620,512,5,673,434,361,148,525,42,12527,213,17.0,399,123,30.8%,81,22,,,147,11.7,69,137,98,128,0,69,3,18,19,32,93,723559,0,10,5,62,"$77,203.28",137,22,"$5,917.34",225,12527,398,10347,1690,12,80,9383,14,1366,4,48,18,2,12527,0,40,0,0,0,0,40,148,27,0,0,0,27,,,
234,VICTORIA,7121,10580,413,338,221,214,7,5,0,1239,1032,7,1356,1051,855,245,1111,28,24213,265,10.9,765,160,20.9%,126,25,1,0,196,8.1,30,190,154,136,0,31,23,35,30,28,153,2203655,6,20,3,36,"$31,157.08",190,52,"$10,173.64",390,24213,1647,8666,13631,17,252,19240,43,3434,25,298,29,12,24213,3,44,1,0,1,0,49,265,545,0,0,0,545,,,
235,WALKER,5626,6620,162,142,100,64,1,1,0,355,298,0,418,287,229,94,324,19,11422,118,10.3,254,70,27.6%,61,14,,,92,8.1,26,92,55,56,0,31,1,4,4,29,57,809801,0,11,2,10,"$7,017.76",92,2,$72.96,135,11422,2877,6016,2349,7,173,8837,24,2264,0,0,28,3,11422,0,16,1,0,2,0,19,331,12,0,28,0,40,,,
236,WALLER,3647,3411,121,108,79,64,0,0,0,300,254,2,343,265,218,90,253,15,10416,69,6.6,196,45,23.0%,17,3,,,65,6.2,30,70,29,57,0,30,4,5,17,6,30,321515,0,0,9,41,"$24,112.90",70,10,"$5,488.20",130,10416,2242,4419,3692,8,55,7902,17,997,1,12,10,6,10416,0,22,0,0,0,0,22,34,2,0,28,0,30,,,
237,WARD,909,1766,97,65,53,41,0,0,0,162,127,1,202,128,101,62,140,4,2928,65,22.2,123,42,34.1%,8,1,1,0,15,5.1,10,14,12,13,0,10,0,2,0,2,13,137853,0,0,0,11,"$5,447.33",14,10,"$2,234.61",94,2928,130,1273,1506,1,18,2288,3,198,1,12,6,0,2928,0,0,0,0,0,0,0,0,5,0,0,0,5,,,
238,WASHINGTON,2629,5274,92,83,56,51,254,248,29,239,216,4,259,200,171,33,226,3,7365,53,7.2,160,36,22.5%,22,2,1,0,27,3.7,4,30,25,15,0,4,1,3,3,5,24,283722,2,1,2,9,"$5,742.00",30,0,$0.00,92,7365,1760,4062,1400,9,134,5704,11,1304,3,36,11,8,7365,0,6,1,0,0,0,7,38,139,0,20,0,159,,,
239,WEBB,18624,17899,683,561,324,553,30,27,4,2326,2158,15,3404,2498,2205,1083,2321,46,89801,791,8.8,1867,427,22.9%,707,125,4,0,507,5.6,102,497,388,338,0,111,27,74,15,143,388,4815257,2,8,5,203,"$100,138.00",497,172,"$21,300.39",1907,89801,66,2561,86544,77,553,73020,90,6351,34,407,377,39,89801,3,88,2,0,0,0,93,430,458,0,177,49,684,,,
240,WHARTON,3529,5884,140,120,99,78,8,7,0,344,269,3,361,262,207,92,269,5,11437,79,6.9,216,49,22.7%,23,4,,,40,3.5,24,37,21,33,0,24,0,2,2,7,20,123899,1,4,0,22,"$9,451.75",37,12,"$4,275.23",165,11437,1884,4276,5219,3,55,8789,17,1819,2,24,37,4,11437,0,12,0,0,0,0,12,39,222,0,59,0,281,,,
241,WHEELER,392,1038,9,12,10,11,0,0,0,35,31,0,56,46,37,12,44,0,1095,9,8.2,29,5,17.2%,6,0,,,14,12.8,0,13,12,6,0,1,0,2,1,3,12,184217,0,0,0,3,"$1,800.00",13,0,$0.00,18,1095,56,761,264,6,8,831,1,102,1,12,1,0,1095,0,1,0,0,0,0,1,4,20,0,0,0,20,,,
242,WICHITA,9738,16213,1463,1235,1024,1109,353,356,34,1908,1600,16,2154,1476,1304,550,1604,80,31130,619,19.9,1293,382,29.5%,286,96,3,0,279,9.0,71,262,221,207,0,77,15,24,32,87,220,2828594,0,21,6,85,"$89,560.92",262,26,"$1,385.26",817,31130,4259,19000,6796,121,954,24352,49,3819,24,288,32,50,31130,4,40,1,0,0,1,46,140,709,0,225,0,934,,,
243,WILBARGER,1143,2303,178,146,123,117,483,440,25,217,188,2,284,205,173,64,220,0,3645,75,20.6,161,42,26.1%,39,5,1,0,29,8.0,2,29,21,23,0,2,2,4,9,9,21,332130,0,1,0,6,"$5,002.40",29,6,$297.47,99,3645,346,2059,1192,12,36,2845,8,465,2,24,6,8,3645,0,2,0,0,0,0,2,6,41,0,28,0,69,,,
244,WILLACY,1672,2450,141,97,75,82,1,1,0,261,248,1,424,265,213,118,306,6,6641,144,21.7,199,64,32.2%,86,25,,,88,13.3,15,83,76,74,0,15,27,3,2,34,79,1039324,1,0,0,8,"$6,710.30",83,10,$797.98,225,6641,20,362,6247,0,12,5246,8,563,3,36,7,8,6641,0,3,0,0,0,0,3,11,129,0,0,0,129,,,
245,WILLIAMSON,32394,34130,773,470,363,395,23,25,7,3444,2562,17,2903,2066,1789,479,2424,134,102401,743,7.3,1848,471,25.5%,204,25,7,0,547,5.3,179,522,389,415,0,182,15,91,38,123,377,4704688,1,21,28,109,"$130,179.49",522,74,"$23,839.11",766,102401,6900,64067,27988,169,3277,75897,206,23958,52,617,190,119,102401,5,264,3,0,1,1,274,1046,431,0,30,0,461,,,
246,WILSON,3840,4967,117,98,62,73,4,1,0,353,269,1,328,247,212,51,277,6,11127,68,6.1,191,41,21.5%,45,12,,,14,1.3,6,13,9,10,0,6,0,1,1,4,10,127997,0,5,0,0,$0.00,13,1,$22.50,75,11127,74,5993,5000,6,54,8072,14,1126,1,12,15,6,11127,0,32,0,0,0,0,32,121,76,0,10,1,87,,,
247,WINKLER,600,1116,35,29,24,21,0,0,0,77,67,0,89,61,49,26,63,6,1962,28,14.3,55,14,25.5%,13,7,,,16,8.2,6,12,5,14,0,6,0,1,0,7,5,100599,0,2,0,4,"$3,080.00",12,0,$0.00,38,1962,32,758,1167,0,5,1533,1,65,1,12,3,2,1962,0,2,0,0,0,0,2,3,5,0,0,0,5,,,
248,WISE,4852,7073,190,134,65,63,0,0,0,635,563,5,722,539,408,184,538,7,15671,167,10.7,437,98,22.4%,75,11,,,58,3.7,20,53,42,50,0,20,3,3,6,19,42,549590,1,2,1,50,"$17,441.61",53,3,$632.56,278,15671,102,12135,3316,24,94,11609,25,1454,0,0,17,9,15671,0,19,0,0,0,0,19,45,79,0,1,0,80,,,
249,WOOD,3184,10750,237,184,125,147,0,0,0,418,337,3,438,278,225,110,328,47,7941,150,18.9,265,88,33.2%,48,3,1,0,118,14.9,44,119,72,105,0,47,5,17,4,40,70,893959,0,4,2,49,"$35,588.69",119,18,"$2,705.20",141,7941,372,6388,1141,9,31,6040,10,544,2,24,12,2,7941,0,18,1,0,0,0,19,106,15,0,0,0,15,,,
250,YOAKUM,631,1016,10,13,12,22,0,0,0,54,43,0,68,47,47,7,61,6,2299,18,7.8,39,7,17.9%,10,6,,,26,11.3,0,26,18,16,0,0,7,2,5,2,19,165624,0,2,0,0,$0.00,26,0,$0.00,28,2299,17,841,1439,2,0,1850,2,68,2,24,2,1,2299,0,2,0,0,0,0,2,3,4,0,0,0,4,,,
251,YOUNG,1352,3544,239,220,173,202,0,1,0,292,261,2,315,222,195,90,225,8,4257,78,18.3,192,52,27.1%,33,13,,,31,7.3,7,29,18,22,0,7,1,0,0,15,18,153722,1,8,2,11,"$3,933.75",29,5,$395.19,114,4257,59,3236,938,6,18,3292,10,528,2,24,5,6,4257,0,12,0,0,0,0,12,20,32,0,0,0,32,,,
252,ZAPATA,1197,2100,59,43,24,52,0,0,0,194,183,0,270,170,144,110,160,1,4807,87,18.1,150,52,34.7%,32,8,,,57,11.9,13,56,46,38,0,13,6,0,1,18,46,476122,1,0,0,24,"$3,196.03",56,9,"$1,118.33",228,4807,5,143,4653,0,6,3714,4,239,0,0,10,0,4807,0,3,0,0,0,0,3,18,77,0,0,0,77,,,
253,ZAVALA,966,1485,50,51,27,22,0,0,0,151,124,0,159,108,97,28,131,4,3867,40,10.3,84,23,27.4%,20,1,1,0,50,12.9,8,43,27,37,0,8,6,6,0,17,29,494783,0,2,0,5,"$1,814.00",43,2,$45.00,46,3867,12,188,3665,0,2,2969,10,585,0,0,4,0,3867,0,2,0,0,0,0,2,4,92,0,0,0,92,,,
254,UNKNOWN,0,0,71,42,27,8,0,20,7,49,67,0,7,0,0,4,3,1,0,6,0.0,3,3,100.0%,3,0,,,0,0.0,0,0,0,,,,,,,,7,40483,0,0,0,0,$0.00,0,0,$0.00,0,,,,,,,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,0,0,0,0,0
255,OUT OF STATE,0,0,0,0,0,34,1,0,0,749,0,0,36,22,8,1,35,0,0,14,0.0,29,12,41.4%,,,,,0,0.0,0,0,0,86,0,3,0,0,0****,1,,,3,17,22,,,,,,,,,,,,,,,,,,,,0,0,43,0,0,0,0,43,53,5,0,0,0,5,,,
256,STATE TOTAL,2003693,2457917,89489,72265,50936,56514,10368,9730,1049,252594,213332,2060,283922,207055,168713,57302,226620,9037,6510210,68326,10.5,165444,40126,24.3%,34030,6489,,,40840,6.3,12107,39733,"27,422*",30346,65,12636,1506,5003,4859,9896,26858,343704262,254,1527,938,17476,"$15,897,234.35",39733,6224,"$1,357,805.67",95683,6510210,769134,2432267,3066711,12749,229349,5083816,9342,930060,1617,19276,7305,6700,6510210,334,9761,150,14,89,13,10361,43107,29406,19390,6551,1655,57002,,,
